section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,order,,,,,,,,,,,
education,TRUE,Group Leader in Systems Biology,University of Oxford,Botnar Research Centre,2018,present,Managing a team of 2 computational postdoctoral researchers and supervising two Dphil students,,,,,,,,,,,,,,,
education,TRUE,MRC Career Development Fellowship in Computational Biology,University of Oxford,WIMM,2015,2018,Development of computational biology skills for next-generation sequencing and big data analysis.,Collaborative projects with researchers throughout the University of Oxford.,,,,,,,,,,,,,,
education,FALSE,Junior Research Fellowship (JRF),University of Oxford,Campion hall,2016,2018,Provided financial support to attend conferences and purchase training resources.,"Have developed collaborative links in ethical studies that has resulted in a publication: ""Ethical considerations regarding genome editing and its inheritance"".",,,,,,,,,,,,,,
education,TRUE,Postdoctoral Scientist in Immunology & Epigenetics,University of Oxford,Botnar Research Centre,2013,2015,Investigating the epigenetics of NK cells and T cells in rheumatoid arthritis,Supervised by Professor Sir Marc Feldmann and Professor Udo Oppermann,,,,,,,,,,,,,,
education,TRUE,PhD in Molecular T Cell Immunology,Imperial College London,Kennedy Institute of Rheumatology,2009,2013,Thesis: The molecular mechsnism of defective regulatory T cell function in Rheumatoid Arthritis,Supported by a highly competitive studentship from the Kennedy Arthritis Trust.,,,,,,Supervisor: Prof Fionula Brennan,,,,,,,,
scientific,FALSE,Computational biology skills,NA,NA,NA,NA,Generation of next-generation sequencing workflows using cgat-core workflow engine,A breakdown of all computational projects can be seen by visiting www.acribbs.co.uk/Science,NA,,,,,,,,,,,,,
scientific,FALSE,Data science skills,NA,NA,NA,NA,Frequent use of UNIX systems (Redhat/scientific linux),Proficient in bash shell scripting,"Best practices in software engineering methodologies (git, style guides (pep8), unit and regression testing and continuous integration testing (Jenkins, Travis CI)",High performance computing (Sun Grid Engine),,,,,,,,,,,,
scientific ,FALSE,Statistics and machine learning,NA,NA,NA,NA,"Three-week residency course at the department of statistics at the University of Washington, ""Supervised and unsupervised machine learning).","Hypothesis testing, linear regression, Bayesian modelling",Deep neural networks in R and Python,Experience with image procesing with writing TensorFlow image classifiers,,,,,,,,,,,,
scientific,FALSE,Laboratory skills,NA,NA,NA,NA,"General lab techniques (ELISA, Western blot, qRT-PCR,  EMSAs)","Molecular biology (Cloning, ChIP, ATAC, isolation of RNA, lentiviral expression, shRNA)","Cellular techniques (Cell isolation, Flow cytometry, Mass cytometry)","Mass spectrometry/CyTOF (HPLC-UV, HPLC-LCMS)",,,,,,,,,,,,
presentations,FALSE,Hellenic Bioinformatics Society meeting,NA,NA,2019,2019,Invited to present a single-cell workshop at the hellenic computational meeting in Crete.,,,,,,,,,,,,,,,
